Year,Team,League,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,W,L,ERA,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT,DER,Result
2004,Chicago Cubs,1,5628,789,1508,308,29,235,755,489,1080,66,28,0.268,0.328,0.458,0.786,89,73,3.81,162,42,66,1465.1,1363,665,621,169,545,1346,0.247,1.3,1458,13188,6061,4396,1579,86,126,108,39,0.735,9,50,0.986,0.696,-1
2004,Chicago White Sox,0,5534,865,1481,284,19,242,823,499,1030,78,51,0.268,0.333,0.457,0.79,83,79,4.91,162,34,46,1432.1,1505,831,782,224,527,1013,0.272,1.42,1458,12891,6064,4297,1667,100,167,90,48,0.652,14,43,0.984,0.694,1
2004,Cincinnati Reds,1,5518,750,1380,287,28,194,713,599,1335,77,25,0.25,0.331,0.418,0.749,76,86,5.19,162,47,78,1443.2,1595,907,832,236,572,992,0.28,1.5,1458,12993,6085,4331,1641,113,123,67,29,0.698,17,74,0.981,0.688,-1
2004,Cleveland Indians,0,5676,858,1565,345,29,184,820,606,1009,94,55,0.276,0.351,0.444,0.795,80,82,4.81,162,32,60,1466.2,1553,857,784,201,579,1115,0.271,1.45,1458,13200,6182,4400,1676,106,152,117,40,0.745,15,43,0.983,0.684,-1
2004,Colorado Rockies,1,5577,833,1531,331,34,202,795,568,1181,44,33,0.275,0.345,0.455,0.8,68,94,5.54,162,36,70,1435.1,1634,923,883,198,697,947,0.29,1.62,1458,12918,6218,4306,1823,89,161,111,32,0.776,15,66,0.986,0.68,-1
2004,Detroit Tigers,0,5623,827,1531,284,54,201,800,518,1144,86,50,0.272,0.337,0.449,0.786,72,90,4.93,162,35,63,1439.2,1542,844,788,190,530,995,0.275,1.44,1458,12957,6175,4319,1712,144,160,71,41,0.634,10,71,0.977,0.684,-1
2004,Florida Marlins,1,5486,718,1447,275,32,148,677,499,968,96,43,0.264,0.329,0.406,0.736,83,79,4.1,162,53,75,1439,1395,700,655,166,513,1116,0.256,1.33,1458,12951,6006,4317,1603,86,153,118,38,0.756,11,35,0.986,0.701,-1
2004,Houston Astros,1,5468,803,1458,294,36,187,756,590,999,89,30,0.267,0.342,0.436,0.778,92,70,4.05,162,47,70,1443,1416,698,650,174,525,1282,0.258,1.35,1458,12987,6050,4329,1620,101,136,101,39,0.721,4,45,0.983,0.686,1
2004,Kansas City Royals,0,5538,720,1432,261,29,150,675,461,1057,67,48,0.259,0.322,0.397,0.72,58,104,5.15,162,25,47,1420.1,1638,905,813,208,518,887,0.29,1.52,1458,12783,6027,4261,1635,131,169,84,35,0.706,17,60,0.978,0.675,-1
2004,Los Angeles Dodgers,1,5542,761,1450,226,30,203,731,536,1092,102,41,0.262,0.332,0.423,0.755,93,69,4.01,162,51,60,1453.1,1386,684,647,178,521,1066,0.254,1.31,1458,13080,6099,4360,1666,73,145,96,40,0.706,15,43,0.988,0.714,-1
2004,Minnesota Twins,0,5623,780,1494,310,24,191,735,513,982,116,46,0.266,0.332,0.431,0.763,92,70,4.03,162,48,68,1476,1523,715,661,167,431,1123,0.267,1.32,1458,13284,6187,4428,1658,101,158,73,44,0.624,6,45,0.984,0.686,-1
2004,Montreal Expos,1,5474,635,1361,276,27,151,605,496,925,109,38,0.249,0.313,0.392,0.705,67,95,4.33,162,31,49,1447,1477,769,696,191,582,1032,0.266,1.42,1458,13023,6139,4341,1699,99,172,58,41,0.586,7,43,0.984,0.695,-1
2004,New York Mets,1,5532,684,1376,289,20,185,658,512,1159,107,23,0.249,0.317,0.409,0.726,71,91,4.09,162,31,52,1449,1452,731,658,156,592,977,0.261,1.41,1458,13041,6229,4347,1745,137,144,100,39,0.719,12,30,0.978,0.693,-1
2004,New York Yankees,0,5527,897,1483,281,20,242,863,670,982,84,33,0.268,0.353,0.458,0.811,101,61,4.69,162,59,76,1443.2,1532,808,752,182,445,1058,0.271,1.37,1458,12993,6001,4331,1571,99,148,90,32,0.738,13,57,0.984,0.687,1
2004,Oakland Athletics,0,5728,793,1545,336,15,189,752,608,1061,47,22,0.27,0.343,0.433,0.776,91,71,4.17,162,35,63,1471.1,1466,742,682,164,544,1034,0.262,1.37,1458,13242,6314,4414,1809,91,172,74,49,0.602,14,39,0.986,0.696,-1
2004,Philadelphia Phillies,1,5643,840,1505,303,23,215,802,645,1133,100,27,0.267,0.345,0.443,0.788,86,76,4.45,162,43,68,1462.2,1488,781,724,214,502,1070,0.264,1.36,1458,13164,6098,4388,1629,81,142,103,26,0.798,7,40,0.987,0.704,-1
2004,San Diego Padres,1,5573,768,1521,304,32,139,722,566,910,52,25,0.273,0.342,0.414,0.756,87,75,4.03,162,44,64,1441,1460,705,645,184,422,1079,0.263,1.31,1458,12969,6033,4323,1602,108,146,69,25,0.734,9,27,0.982,0.693,1
2004,San Francisco Giants,1,5546,850,1500,314,33,183,805,705,874,43,23,0.27,0.357,0.438,0.795,91,71,4.29,162,46,74,1457,1481,770,695,161,548,1020,0.265,1.39,1458,13113,6209,4371,1737,101,153,72,24,0.75,11,52,0.984,0.694,-1
2004,Seattle Mariners,0,5722,698,1544,276,20,136,658,492,1058,110,42,0.27,0.331,0.396,0.727,63,99,4.76,162,28,49,1459.1,1498,823,772,212,575,1036,0.265,1.42,1458,13134,5954,4378,1473,103,140,64,38,0.627,11,45,0.983,0.7,-1
2004,St. Louis Cardinals,1,5555,855,1544,319,24,214,817,548,1085,111,47,0.278,0.344,0.46,0.804,105,57,3.75,162,57,73,1453.2,1378,659,605,169,440,1041,0.251,1.25,1458,13083,6292,4361,1834,97,154,53,29,0.646,9,42,0.985,0.71,1
2004,Texas Rangers,0,5615,860,1492,323,34,227,825,500,1099,69,36,0.266,0.329,0.457,0.786,89,73,4.53,162,52,66,1439.2,1536,794,724,182,547,979,0.274,1.45,1458,12957,6040,4319,1604,117,152,71,39,0.645,16,34,0.981,0.687,-1
2004,Milwaukee Brewers,1,5483,634,1358,295,32,135,601,540,1312,138,40,0.248,0.321,0.387,0.708,67,94,4.24,161,42,64,1442,1440,757,679,164,476,1098,0.259,1.33,1449,12978,6037,4326,1594,117,132,89,29,0.754,7,59,0.981,0.691,-1
2004,Pittsburgh Pirates,1,5483,680,1428,267,39,142,648,415,1066,63,40,0.26,0.321,0.401,0.722,72,89,4.29,161,46,69,1428,1451,744,680,149,576,1079,0.267,1.42,1449,12852,6080,4284,1693,103,189,72,38,0.655,2,45,0.983,0.685,-1
2004,Tampa Bay Devil Rays,0,5483,714,1416,278,46,145,685,469,944,132,42,0.258,0.32,0.405,0.725,70,91,4.81,161,35,45,1417,1459,842,757,192,580,923,0.265,1.44,1449,12753,5900,4251,1530,119,139,67,32,0.677,8,55,0.98,0.7,-1
2004,Toronto Blue Jays,0,5531,719,1438,290,34,145,680,513,1083,58,31,0.26,0.328,0.403,0.732,67,94,4.91,161,37,53,1421,1505,823,775,181,608,956,0.273,1.49,1449,12789,5985,4263,1631,91,150,91,41,0.689,11,60,0.985,0.692,-1
2003,Baltimore Orioles,0,5665,743,1516,277,24,152,695,431,902,89,36,0.268,0.323,0.405,0.729,71,91,4.76,163,41,62,1449.2,1579,820,767,198,526,981,0.278,1.45,1467,13047,6137,4349,1683,105,164,121,37,0.766,12,42,0.983,0.684,-1
2003,New York Yankees,0,5605,877,1518,304,14,230,845,684,1042,98,33,0.271,0.356,0.453,0.81,101,61,4.02,163,49,67,1462,1512,716,653,145,375,1119,0.265,1.29,1467,13158,6078,4386,1578,114,126,92,37,0.713,13,33,0.981,0.681,1
2003,Anaheim Angels,0,5487,736,1473,276,33,150,687,476,838,129,61,0.268,0.33,0.413,0.743,77,85,4.28,162,39,52,1431.1,1444,743,680,190,486,980,0.261,1.35,1458,12882,5916,4294,1517,105,138,80,48,0.625,11,53,0.982,0.703,1
2003,Arizona Diamondbacks,1,5570,717,1467,303,47,152,696,531,1006,76,38,0.263,0.33,0.417,0.746,84,78,3.84,162,42,55,1455,1379,685,621,150,526,1291,0.25,1.31,1458,13095,6165,4365,1693,107,132,84,38,0.689,15,52,0.983,0.69,-1
2003,Atlanta Braves,1,5670,907,1608,321,31,235,872,545,933,68,22,0.284,0.349,0.475,0.824,101,61,4.1,162,51,71,1456.1,1425,740,663,147,555,992,0.257,1.36,1458,13107,6374,4369,1884,121,166,91,34,0.728,7,53,0.981,0.698,1
2003,Boston Red Sox,0,5769,961,1667,371,40,238,932,620,943,88,35,0.289,0.36,0.491,0.851,95,67,4.48,162,36,57,1464.2,1503,809,729,153,488,1141,0.263,1.36,1458,13182,6186,4394,1679,113,130,101,35,0.743,20,44,0.982,0.685,1
2003,Chicago Cubs,1,5519,724,1431,302,24,172,691,492,1158,73,31,0.259,0.323,0.416,0.739,88,74,3.83,162,36,51,1456.1,1304,683,619,143,617,1404,0.241,1.32,1458,13107,6156,4369,1681,106,157,70,42,0.625,12,63,0.983,0.692,-1
